	TSPAN6	TNMD	DPM1	SCYL3	C1orf112	FGR	CFH	FUCA2	GCLC	NFYA	STPG1	NIPAL3	LAS1L	ENPP4	SEMA3F	CFTR	ANKIB1	CYP51A1	KRIT1	RAD52
s18	49	0	119	166	37	60	638	153	295	134	45	504	157	148	40	51	637	21	287	102
s11	43	0	17	142	10	74	103	61	176	71	72	160	119	74	51	170	218	41	134	174
s03	69	4	77	193	64	33	292	99	649	196	39	417	304	193	73	79	783	25	424	218
s59	182	5	66	287	75	22	375	177	492	236	207	605	194	296	72	749	597	8	336	412
s41	63	3	117	267	90	25	459	215	705	202	40	351	310	320	27	27	1032	19	584	183
s37	158	13	227	311	98	46	257	362	1063	324	126	902	334	427	97	425	1231	61	730	262
s05	66	6	165	347	134	92	530	209	592	332	113	698	403	455	86	324	1220	28	824	263
s07	238	6	95	255	100	108	241	154	526	300	95	726	262	393	68	538	714	58	478	310
s09	309	2	193	363	77	73	508	307	602	336	202	776	266	402	132	1400	997	45	599	561
s88	103	6	223	250	103	89	668	231	1110	332	72	633	432	521	109	293	1552	35	966	247
